"No.","Zone Name","Zone Channel Member","A Channel","B Channel"
"11","Ellensburg UHF","E/ML Aud Test 2|E/ML BC 1|E/ML Bridge 2|E/ML California|E/ML Canada 2|E/ML Cascades E|E/ML Comm 1|E/ML DCI 1|E/ML DCI 2|E/ML Idaho 1|E/ML Local 1|E/ML Local 2|E/ML Montana 2|E/ML NA 2|E/ML Net 2|E/ML Oregon 1|E/ML Parrot|E/ML PNW 1|E/ML PNW 2|E/ML PNW Reg 2|E/ML TAC 1|E/ML TAC 2|E/ML TAC 3|E/ML TAC 310|E/ML TAC 311|E/ML TAC 313|E/ML TAC 314|E/ML TAC 319|E/ML USA 2|E/ML Wash 1|E/ML Wash 2","E/ML Cascades E","E/ML Wash 2"
"12","Ellensburg VHF","E-ML Audio Test2|E-ML BC 1|E-ML Bridge 2|E-ML California|E-ML Canada 2|E-ML Cascades E|E-ML Idaho 1|E-ML Local 1|E-ML Local 2|E-ML Montana 2|E-ML NA 2|E-ML Net 2 VHF|E-ML Oregon 1|E-ML Parrot|E-ML PNW 1|E-ML PNW 2|E-ML PNW Reg 2|E-ML TAC 1|E-ML TAC 2|E-ML TAC 3|E-ML TAC 310|E-ML USA 2|E-ML Wash 1|E-ML Wash 2","E-ML Cascades E","E-ML Wash 2"
"13","Everson-Mt Sumas","Ever-Sum AudTst2|Ever-Sum BC 1|Ever-Sum Bridge2|Ever-Sum Calif 1|Ever-Sum Canada2|Ever-Sum Casc 1|Ever-Sum Comm 1|Ever-Sum DCI 1|Ever-Sum DCI 2|Ever-Sum Hawaii|Ever-Sum I-5 1|Ever-Sum Idaho 1|Ever-Sum Local 1|Ever-Sum Local 2|Ever-Sum Montan2|Ever-Sum NA 2|Ever-Sum Net 2|Ever-Sum Oregon1|Ever-Sum Parrot1|Ever-Sum PNW 2|Ever-Sum PNW Rg2|Ever-Sum TAC 1|Ever-Sum TAC 2|Ever-Sum TAC 3|Ever-Sum TAC 310|Ever-Sum TAC 311|Ever-Sum TAC 313|Ever-Sum TAC 314|Ever-Sum TAC 319|Ever-Sum USA 2|Ever-Sum Wash 1|Ever-Sum Wash 2|Ever-Sum WW 2|Ever-Sum WW Eng2","Ever-Sum Wash 1","Ever-Sum Wash 2"
"14","Eugene Oregon","Eugene I-5|Eugene Local 1|Eugene Local 2|Eugene Oregon 1|Eugene Parrot|Eugene PNW 1|Eugene PNW 2|Eugene TAC 310|Eugene Wash 1|Eugene Wash 2","Eugene Oregon 1","Eugene Local 2"
"15","Kelso-Columbia","Kel/Col BC 1|Kel/Col Bridge 2|Kel/Col Cal 1|Kel/Col Hawaii 1|Kel/Col I 5|Kel/Col Local 1|Kel/Col Local 2|Kel/Col MTN 2|Kel/Col NA 2|Kel/Col Oregon 1|Kel/Col Parrot|Kel/Col PNW 1|Kel/Col PNW 2|Kel/Col TAC 1|Kel/Col TAC 310|Kel/Col TAC 311|Kel/Col TAC 312|Kel/Col TAC Eng2|Kel/Col USA 2|Kel/Col Wash 1|Kel/Col Wash 2|Kel/Col WW 2|Kel/Col WW Eng 2","Kel/Col Wash 1","Kel/Col Wash 2"
"16","Kelso-Rainier","Rainier BC 1|Rainier Bridge 2|Rainier Cal 1|Rainier Hawaii 1|Rainier I-5|Rainier Local 1|Rainier Local 2|Rainier Mnt. 2|Rainier NA 2|Rainier Oregon 1|Rainier Parrot|Rainier PNW 1|Rainier PNW 2|Rainier TAC 1|Rainier TAC 310|Rainier TAC 311|Rainier TAC 312|Rainier TAC Eng2|Rainier USA 2|Rainier Wash 1|Rainier Wash 2|Rainier WW 2|Rainier WW Eng 2","Rainier Wash 1","Rainier Wash 2"
"17","Mazama UHF","Maz Audio Test|Maz BC 1|Maz Bridge 2|Maz Cal 1|Maz Canada 2|Maz Cascades E|Maz Comm 1|Maz Comm 2|Maz DCI 1|Maz DCI 2|Maz Fusion 2|Maz Hawaii 1|Maz I-5|Maz Idaho 1|Maz Local 1|Maz Local 2|Maz Michigan 1|Maz Michigan 2|Maz Montana 2|Maz Mountain 2|Maz MPRG 1-2|Maz NA 2|Maz Net 2 UHF|Maz Oregon 1|Maz Parrot|Maz PNW 1|Maz PNW 2|Maz PNW Reg 2|Maz SNARS 2|Maz TAC 1|Maz TAC 2|Maz TAC 3|Maz TAC 310|Maz TAC 311|Maz TAC 312|Maz TAC 313|Maz TAC 314|Maz TAC 315|Maz TAC 316|Maz TAC 317|Maz TAC 318|Maz TAC 319|Maz TAC Eng 2|Maz USA 2|Maz Wash 1|Maz Wash 2|Maz WW 2|Maz WW Eng 2","Maz Wash 1","Maz Wash 2"
"18","Mazama VHF","Maz_Audio Test|Maz_BC 1|Maz_Bridge 2|Maz_Cal 1|Maz_Canada 2|Maz_Cascades E|Maz_Comm 1|Maz_Comm 2|Maz_DCI 1|Maz_DCI 2|Maz_Fusion 2|Maz_Hawaii 1|Maz_I-5|Maz_Idaho 1|Maz_Local 1|Maz_Local 2|Maz_Michigan 1|Maz_Michigan 2|Maz_Montana 2|Maz_Mountain 2|Maz_MPRG 1-2|Maz_NA 2|Maz_Net 2 VHF|Maz_Oregon 1|Maz_Parrot 1|Maz_PNW 1|Maz_PNW 2|Maz_PNW Reg 2|Maz_SNARS 2|Maz_TAC 1|Maz_TAC 2|Maz_TAC 3|Maz_TAC 310|Maz_TAC 311|Maz_TAC 312|Maz_TAC 313|Maz_TAC 314|Maz_TAC 315|Maz_TAC 316|Maz_TAC 317|Maz_TAC 318|Maz_TAC 319|Maz_TAC Eng 2|Maz_USA 2|Maz_Wash 1 VHF|Maz_Wash 2 VHF|Maz_WW 2|Maz_WW Eng 2","Maz_Wash 1 VHF","Maz_Wash 2 VHF"
"19","Megler WA","Megler I-5|Megler Local 1|Megler Local 2|Megler Oregon 1|Megler Parrot 1|Megler PNW 1|Megler PNW 2|Megler TAC 310|Megler Wash 1|Megler Wash 2","Megler Oregon 1","Megler Local 2"
"20","MM Brandmeis 434","BM Alaska|BM Arizona|BM BayNet|BM California|BM Colorado HD|BM Hawaii|BM Idaho|BM Michigan 1|BM Minnesota|BM Montana|BM Mountain|BM MPRG|BM NA2|BM NoCO|BM NorCal|BM Oregon|BM PNW Regional|BM SNARS|BM SoCal|BM TAC 310|BM TAC 311|BM TAC 312|BM Texas|BM TG9|BM Utah|BM Wash 1","BM PNW Regional","BM Wash 1"
